akahara_imori,アカハライモリ,Japanese fire belly newt,Japan,日本のイモリ,data/images_imori/asia/akahara_imori.jpg
shiriken_imori,シリケンイモリ,Sword-tail newt,Japan,沖縄のイモリ。アマミシリケンイモリとオキナワシリケンイモリ,data/images_imori/asia/akahara_imori.jpg
madara_imori,マダライモリ,Marbled newt,Spain France,全長12-17cm。体色は緑色で、黒く不定形な斑紋が入る。種小名marmoratusは「大理石模様の、斑紋のある」の意で、和名や英名と同義。腹面は黒く、白い斑点が点在する。,data/images_imori/europe/madara_imori.jpg
